224,NLM_DEVICE_INFO,WBX61,0001,3026,0,1787824851804,1787824851804
1002,142,0,1787824851955
1004,431,0,1787824851955
1004,430,0,1787824851956
1002,141,0,1787824852779
1004,427,0,1787824852780
1004,433,0,1787824852806
222,0,PPG_SDK:GH_V4300
225,0,0
112,25,0
113,25,0
100,0,250,25,0,250,25,0,250,25,0
1,14541521,0
9,13781586,0
10,14262245,0
11,15454692,0
2,-503,-1,-106,0
1,14551177,40
9,13784579,40
10,14272070,40
11,15464518,40
2,-563,191,-5,40
1,14552468,80
9,13783695,80
10,14282645,80
11,15475908,80
2,-505,108,-24,80
1,14556821,120
9,13786619,120
10,14294170,120
11,15494846,120
2,-472,180,-4,120
1,14565762,160
9,13795425,160
10,14307771,160
11,15518375,160
2,-483,74,23,160
1,14573583,200
9,13805182,200
10,14320249,200
11,15541698,200
2,-482,108,0,200
1,14585755,240
9,13815519,240
10,14331435,240
11,15563016,240
2,-549,234,194,240
1,14599388,280
9,13825038,280
10,14342926,280
11,15575902,280
2,-426,383,335,280
1,14609282,320
9,13830342,320
10,14351732,320
11,15586511,320
2,-289,305,380,320
1,14617443,360
9,13836327,360
10,14360199,360
11,15595248,360
2,-285,527,347,360
1,14625297,400
9,13843161,400
10,14369107,400
11,15605585,400
2,-275,458,374,400
1,14632505,440
9,13848770,440
10,14377028,440
11,15615207,440
2,-214,8,281,440
1,14630328,480
9,13847615,480
10,14383013,480
11,15620409,480
2,-163,-253,321,480
1,14620367,520
9,13845914,520
10,14390526,520
11,15633192,520
2,-189,-132,502,520
1,14615946,560
9,13852307,560
10,14401644,560
11,15659951,560
2,-164,-63,529,560
1,14618259,600
9,13861418,600
10,14414700,600
11,15697623,600
2,-119,58,499,600
1,14627745,640
9,13873828,640
10,14429490,640
11,15740632,640
2,-53,7,513,640
1,14644031,680
9,13895351,680
10,14446014,680
11,15786430,680
2,-52,27,510,680
1,14661065,720
9,13915818,720
10,14462504,720
11,15828319,720
2,-58,-108,470,720
1,14677112,760
9,13932512,760
10,14477669,760
11,15862080,760
2,-70,-124,507,760
1,14691631,800
9,13945194,800
10,14490589,800
11,15887138,800
2,-39,-134,516,800
1,14705265,840
9,13955564,840
10,14502114,840
11,15903527,840
2,-20,-79,529,840
1,14716859,880
9,13962908,880
10,14512144,880
11,15915495,880
2,8,-17,512,880
1,14718592,920
9,13963996,920
10,14518707,920
11,15919303,920
2,10,-2,524,920
1,14710977,960
9,13961821,960
10,14522480,960
11,15920901,960
2,-22,21,538,960
1,14704857,1000
9,13961514,1000
10,14525540,1000
11,15922906,1000
2,-30,21,547,1000
1,14702715,1040
9,13962942,1040
10,14528736,1040
11,15927701,1040
2,-57,16,523,1040
1,14704415,1080
9,13966105,1080
10,14532545,1080
11,15933684,1080
2,-93,55,523,1080
1,14708325,1120
9,13971068,1120
10,14536931,1120
11,15940348,1120
2,-92,-29,471,1120
1,14712235,1160
9,13975727,1160
10,14540603,1160
11,15946741,1160
2,-76,137,428,1160
1,14716621,1200
9,13979806,1200
10,14543969,1200
11,15953065,1200
2,-87,290,525,1200
1,14719953,1240
9,13984023,1240
10,14547810,1240
11,15959014,1240
2,-118,227,574,1240
1,14723047,1280
9,13986674,1280
10,14551449,1280
11,15964625,1280
2,-114,180,527,1280
1,14725528,1320
9,13989225,1320
10,14555052,1320
11,15970643,1320
2,-117,187,505,1320
1,14721244,1360
9,13986471,1360
10,14555563,1360
11,15970404,1360
2,-123,185,520,1360
1,14709209,1400
9,13978277,1400
10,14554169,1400
11,15966392,1400
2,-103,158,533,1400
1,14698261,1440
9,13972701,1440
10,14552809,1440
11,15963740,1440
2,-79,143,531,1440
1,14692174,1480
9,13969539,1480
10,14552299,1480
11,15964795,1480
2,-34,94,517,1480
1,14690067,1520
9,13967839,1520
10,14552571,1520
11,15967583,1520
2,-3,129,496,1520
1,14691563,1560
9,13967158,1560
10,14553658,1560
11,15970371,1560
2,26,151,478,1560
1002,140,1560,1787824853997
1004,438,1560,1787824853998
1004,438,1560,1787824853998
1004,440,1560,1787824854039
1002,139,1560,1787824854802
1004,438,1560,1787824854802
1004,440,1560,1787824854803
1,14694215,1600
9,13967396,1600
10,14555563,1600
11,14098195,1600
2,-8,151,491,1600
1,14697479,1640
9,13967499,1640
10,14557535,1640
11,14100439,1640
2,-18,191,482,1640
1,14700165,1680
9,13968043,1680
